subject_id,task,run_id,bold_path,mask_path,confounds_path,features_path,bold_start,feature_start,n_samples,preprocessing_source
sub-2003,reading,run-1,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-1_space-T1w_desc-preproc_bold.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/anat/sub-2003_space-T1w_desc-brain_mask.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-1_desc-confounds_timeseries.tsv,DATT/Cory/analysis/encoding_model_comparison/features/bert_base_uncased/grocery_store_calming__tr_features__ctx10_trmean_acq_v1.npy,0,5,169,fsl_ce
sub-2003,reading,run-2,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-2_space-T1w_desc-preproc_bold.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/anat/sub-2003_space-T1w_desc-brain_mask.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-2_desc-confounds_timeseries.tsv,DATT/Cory/analysis/encoding_model_comparison/features/bert_base_uncased/walk_in_the_park__tr_features__ctx10_trmean_acq_v1.npy,0,5,169,fsl_ce
sub-2003,reading,run-3,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-3_space-T1w_desc-preproc_bold.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/anat/sub-2003_space-T1w_desc-brain_mask.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-3_desc-confounds_timeseries.tsv,DATT/Cory/analysis/encoding_model_comparison/features/bert_base_uncased/facial_differences__tr_features__ctx10_trmean_acq_v1.npy,0,5,169,fsl_ce
sub-2003,reading,run-4,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-4_space-T1w_desc-preproc_bold.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/anat/sub-2003_space-T1w_desc-brain_mask.nii.gz,DATT/Data/fsl_ce/derivatives/sub-2003/func/sub-2003_task-reading_run-4_desc-confounds_timeseries.tsv,DATT/Cory/analysis/encoding_model_comparison/features/bert_base_uncased/grocery_store_original__tr_features__ctx10_trmean_acq_v1.npy,0,5,169,fsl_ce
